gene_name,public_name,N2_specific_read_count, CB4856_specific_read_count
Y50C1A.1,Y50C1A.1,42,44
Y50C1A.2,Y50C1A.2,1,0
C07F11.2,C07F11.2,1,1
C07F11.1,tol-1,14,16
W04C9.4,W04C9.4,29,43
W04C9.5,W04C9.5,1,0
W04C9.3,cutl-13,0,0
W04C9.6,W04C9.6,0,3
W04C9.2,W04C9.2,3,0
W04C9.1,haf-4,4,5
Y65B4BL.3,Y65B4BL.3,15,7
Y65B4BL.4,Y65B4BL.4,0,0
Y65B4BL.2,deps-1,213,258
Y65B4BL.7,Y65B4BL.7,1,1
Y65B4BL.5,acs-13,351,395
Y65B4BL.6,Y65B4BL.6,0,0
Y65B4BL.1,Y65B4BL.1,1,0
Y65B4BR.8,Y65B4BR.8,26,27
Y65B4BR.5,Y65B4BR.5,538,572
Y65B4BR.4,wwp-1,118,114
Y65B4BR.3,ptr-21,38,77
Y65B4BR.2,lpr-1,0,0
Y65B4BR.1,Y65B4BR.1,0,1
Y65B4BR.9,ceh-9,0,0
Y65B4BR.6,grl-16,0,0
F56A6.2,hum-7,6,5
F56A6.4,F56A6.4,99,91
F56A6.1,sago-2,5,38
Y65B4A.4,Y65B4A.4,0,1
Y65B4A.6,Y65B4A.6,88,95
Y65B4A.3,vps-20,108,96
Y65B4A.2,Y65B4A.2,1,4
Y65B4A.7,Y65B4A.7,17,12
Y65B4A.1,Y65B4A.1,37,19
Y65B4A.8,Y65B4A.8,45,38
Y65B4A.9,Y65B4A.9,21,2
Y18H1A.14,Y18H1A.14,0,0
Y18H1A.11,Y18H1A.11,7,4
Y18H1A.10,Y18H1A.10,35,31
Y18H1A.1,Y18H1A.1,36,9
Y18H1A.4,Y18H1A.4,0,0
Y18H1A.2,Y18H1A.2,31,19
Y18H1A.3,Y18H1A.3,26,23
Y18H1A.7,Y18H1A.7,0,0
Y18H1A.6,pif-1,2,6
Y18H1A.15,Y18H1A.15,3,1
Y18H1A.13,col-46,0,0
Y18H1A.12,col-47,0,0
Y18H1A.9,Y18H1A.9,0,0
Y18H1A.8,Y18H1A.8,39,37
T06A4.2,mps-3,0,0
T06A4.3,T06A4.3,0,0
T06A4.1,T06A4.1,0,0
T06A4.4,T06A4.4,0,0
T06A4.7,T06A4.7,0,0
Y73A3A.1,Y73A3A.1,0,0
ZC123.3,zfh-2,8,3
ZC123.10,ZC123.10,0,0
ZC123.5,ZC123.5,0,0
ZC123.1,ZC123.1,0,1
ZC123.4,ZC123.4,5,6
Y95B8A.8,Y95B8A.8,17,17
Y95B8A.10,pde-6,28,43
Y95B8A.6,Y95B8A.6,0,1
Y95B8A.11,him-19,6,5
Y95B8A.5,gpa-16,40,35
Y95B8A.4,Y95B8A.4,11,7
Y95B8A.12,Y95B8A.12,0,1
Y95B8A.2,Y95B8A.2,0,0
Y95B8A.1,nas-30,0,0
Y34D9B.1,mig-1,12,9
F54A5.2,cutl-20,4,2
F54A5.3,shc-1,5,10
F54A5.4,F54A5.4,0,0
F54A5.1,hmbx-1,2,5
C54G6.7,C54G6.7,0,0
C54G6.3,C54G6.3,0,0
C54G6.2,C54G6.2,0,0
C54G6.1,madf-6,15,12
Y34D9A.1,mrpl-38,56,55
Y34D9A.4,spd-1,53,44
Y34D9A.3,Y34D9A.3,51,54
Y34D9A.7,Y34D9A.7,20,23
Y34D9A.8,Y34D9A.8,0,2
Y34D9A.10,vps-4,80,73
Y34D9A.2,Y34D9A.2,3,3
R06A10.2,gsa-1,7,11
R06A10.3,R06A10.3,0,0
R06A10.1,R06A10.1,0,0
R06A10.5,R06A10.5,0,0
R06A10.4,R06A10.4,3,0
ZK993.2,ZK993.2,0,7
ZK993.1,ceh-45,0,0
Y48G8AL.9,Y48G8AL.9,26,29
Y48G8AL.10,Y48G8AL.10,25,63
Y48G8AL.14,aps-3,46,42
Y48G8AL.8,rpl-17,1394,1510
Y48G8AL.7,Y48G8AL.7,1,0
Y48G8AL.11,haf-6,25,20
Y48G8AL.6,smg-2,182,206
Y48G8AL.5,Y48G8AL.5,52,61
Y48G8AL.1,herc-1,179,168
Y48G8AL.16,Y48G8AL.16,0,0
Y48G8AL.13,Y48G8AL.13,24,27
Y48G8AL.15,Y48G8AL.15,20,10
Y48G8AR.1,grh-1,2,4
Y48G8AR.7,Y48G8AR.7,0,0
Y48G8AR.4,Y48G8AR.4,0,0
Y48G8AR.2,Y48G8AR.2,0,0
Y48G8AR.3,Y48G8AR.3,0,0
K12C11.4,dapk-1,4,7
K12C11.3,K12C11.3,0,0
K12C11.6,K12C11.6,8,12
Y92H12BL.1,Y92H12BL.1,9,19
Y92H12BL.5,Y92H12BL.5,0,1
Y92H12BL.4,Y92H12BL.4,0,0
Y92H12BL.2,Y92H12BL.2,0,0
Y92H12BM.1,Y92H12BM.1,0,1
Y92H12BR.7,Y92H12BR.7,10,6
Y92H12BR.6,set-29,14,12
Y92H12BR.2,Y92H12BR.2,0,0
Y92H12BR.3,Y92H12BR.3,127,131
Y92H12BR.4,Y92H12BR.4,0,0
Y92H12BR.8,mrpl-15,30,44
F37F2.2,F37F2.2,42,48
F47G6.6,F47G6.6,0,0
F47G6.4,spe-15,172,141
F37F2.3,gst-25,0,0
F47G6.3,F47G6.3,47,47
F47G6.2,acs-16,0,1
F47G6.1,dyb-1,4,3
Y92H12A.5,Y92H12A.5,107,72
Y92H12A.4,Y92H12A.4,86,43
Y92H12A.3,Y92H12A.3,19,6
Y92H12A.2,Y92H12A.2,49,42
Y92H12A.1,src-1,13,13
Y73E7A.3,Y73E7A.3,18,27
Y73E7A.4,cpx-1,0,0
Y73E7A.5,Y73E7A.5,0,0
Y73E7A.2,Y73E7A.2,28,33
Y73E7A.6,Y73E7A.6,0,0
Y73E7A.9,adpr-1,47,39
Y73E7A.7,bre-4,0,1
Y73E7A.1,Y73E7A.1,0,0
Y73E7A.8,Y73E7A.8,0,1
Y71G12B.20,mab-20,14,18
Y71G12B.18,Y71G12B.18,0,0
Y71G12B.21,pqn-88,3,5
Y71G12B.33,Y71G12B.33,5,6
Y71G12B.22,Y71G12B.22,0,0
Y71G12B.17,Y71G12B.17,10,12
Y71G12B.23,Y71G12B.23,1,1
Y71G12B.35,Y71G12B.35,5,3
Y71G12B.16,drag-1,3,1
Y71G12B.31,Y71G12B.31,3,1
Y71G12B.15,ubc-3,0,0
Y71G12B.13,Y71G12B.13,0,1
Y71G12B.12,atg-5,45,27
Y71G12B.11,Y71G12B.11,31,40
Y71G12B.24,mppa-1,78,76
Y71G12B.10,Y71G12B.10,68,58
Y71G12B.9,lin-65,43,58
Y71G12B.8,Y71G12B.8,1,0
Y71G12B.26,Y71G12B.26,1,0
Y71G12B.7,Y71G12B.7,0,0
Y71G12B.6,Y71G12B.6,0,0
Y71G12B.27,Y71G12B.27,0,0
Y71G12B.5,Y71G12B.5,10,4
Y71G12B.38,Y71G12B.38,6,0
Y71G12B.4,pghm-1,14,19
Y71G12B.3,Y71G12B.3,22,17
Y71G12B.32,Y71G12B.32,0,0
Y71G12B.2,Y71G12B.2,1,1
Y71G12B.30,Y71G12B.30,0,0
Y71G12B.1,Y71G12B.1,94,79
Y71G12B.28,Y71G12B.28,0,0
M01D7.7,egl-30,6,1
M01D7.6,emr-1,208,151
M01D7.5,nlp-12,0,0
M01D7.4,tag-96,8,10
M01D7.9,M01D7.9,0,1
M01D7.1,M01D7.1,0,0
M01D7.2,scm-1,21,18
Y71G12A.3,tub-2,33,35
Y71G12A.4,Y71G12A.4,0,0
Y71G12A.2,Y71G12A.2,50,45
Y51F10.7,Y51F10.7,155,156
Y51F10.5,hex-4,86,51
Y51F10.4,Y51F10.4,53,59
Y51F10.10,Y51F10.10,51,56
Y51F10.11,Y51F10.11,0,0
Y51F10.3,Y51F10.3,74,78
Y51F10.12,Y51F10.12,1,1
Y51F10.2,Y51F10.2,170,135
Y20F4.3,gap-3,16,14
Y20F4.2,crtc-1,3,8
Y20F4.4,Y20F4.4,28,12
Y20F4.5,Y20F4.5,1,1
Y37E3.1,Y37E3.1,36,20
Y37E3.3,rpb-10,98,82
Y37E3.5,arl-13,0,1
Y37E3.8,Y37E3.8,3732,3859
Y37E3.10,Y37E3.10,214,243
Y37E3.11,Y37E3.11,101,99
Y37E3.29,Y37E3.29,0,0
Y37E3.13,Y37E3.13,4,0
Y37E3.15,npp-13,108,86
Y37E3.19,Y37E3.19,5,3
Y37E3.16,fpn-1.1,21,18
Y37E3.17,Y37E3.17,2,1
Y37E3.23,Y37E3.23,1,1
W03F11.6,afd-1,34,39
W03F11.5,W03F11.5,0,0
W03F11.2,gcy-17,0,0
W03F11.3,dct-9,17,16
W03F11.4,W03F11.4,28,26
F12B6.3,lgc-51,1,0
F12B6.2,F12B6.2,8,8
F12B6.1,abt-2,8,14
Y39G10AL.1,Y39G10AL.1,3,3
Y39G10AL.3,cdk-7,49,38
Y39G10AR.11,Y39G10AR.11,30,19
Y39G10AR.12,tpxl-1,163,203
Y39G10AR.10,epg-2,9,14
Y39G10AR.13,icp-1,31,31
Y39G10AR.9,Y39G10AR.9,0,0
Y39G10AR.21,Y39G10AR.21,16,21
Y39G10AR.20,Y39G10AR.20,71,61
Y39G10AR.8,Y39G10AR.8,137,97
Y39G10AR.30,Y39G10AR.30,8,4
Y39G10AR.7,Y39G10AR.7,22,25
Y39G10AR.14,mcm-4,154,277
Y39G10AR.15,Y39G10AR.15,8,8
Y39G10AR.22,srbc-64,0,0
Y39G10AR.16,Y39G10AR.16,157,21
Y39G10AR.6,ugt-31,17,14
Y39G10AR.5,zeel-1,0,0
Y39G10AR.25,peel-1,2,0
Y39G10AR.3,nekl-1,0,0
Y39G10AR.31,Y39G10AR.31,0,0
Y39G10AR.27,Y39G10AR.27,0,0
Y39G10AR.17,sydn-1,4,6
Y39G10AR.18,Y39G10AR.18,109,105
Y39G10AR.2,zwl-1,50,54
F23C8.13,F23C8.13,0,3
F23C8.5,F23C8.5,288,300
F23C8.6,F23C8.6,0,0
F23C8.7,F23C8.7,7,3
F23C8.8,F23C8.8,5,6
F23C8.9,F23C8.9,0,0
F23C8.4,ubxn-1,30,40
F23C8.3,F23C8.3,3,5
F23C8.1,F23C8.1,3,8
F23C8.11,F23C8.11,1,0
T16H5.1,inx-19,0,0
Y74C10AL.2,Y74C10AL.2,0,0
Y74C10AR.3,abtm-1,31,34
Y74C10AR.1,eif-3.I,109,105
Y23H5B.6,Y23H5B.6,120,98
Y23H5B.5,Y23H5B.5,115,83
Y23H5B.7,Y23H5B.7,0,0
Y23H5B.4,dmsr-2,3,2
Y23H5B.3,Y23H5B.3,0,2
Y23H5B.8,Y23H5B.8,1,0
Y23H5B.2,Y23H5B.2,14,38
Y23H5B.9,nspd-8,0,72
Y23H5B.1,Y23H5B.1,1,0
Y23H5B.12,Y23H5B.12,1,3
C55C2.4,C55C2.4,9,38
C55C2.3,C55C2.3,8,3
C55C2.2,ssp-19,167,543
C55C2.1,scrt-1,0,0
C55C2.5,aat-5,5,12
K07A3.1,fbp-1,5,0
K07A3.2,ptr-12,3,4
K07A3.3,K07A3.3,25,46
Y23H5A.5,ctn-1,4,11
Y23H5A.4,Y23H5A.4,26,33
Y23H5A.3,Y23H5A.3,28,37
Y23H5A.2,Y23H5A.2,8,9
Y23H5A.7,cars-1,299,347
Y23H5A.8,Y23H5A.8,0,0
F40E3.7,F40E3.7,0,0
F40E3.3,F40E3.3,0,0
F40E3.2,mage-1,1,0
F40E3.5,F40E3.5,18,13
F40E3.6,F40E3.6,1,0
F32B5.6,F32B5.6,26,27
F32B5.7,F32B5.7,3,3
F32B5.8,cpz-1,7,3
F32B5.3,F32B5.3,3,19
F32B5.2,F32B5.2,0,1
F32B5.1,F32B5.1,121,231
Y71F9B.5,lin-17,4,3
Y71F9B.16,dnj-30,45,39
Y71F9B.6,Y71F9B.6,12,9
Y71F9B.4,snr-7,6,5
Y71F9B.3,yop-1,293,220
Y71F9B.2,Y71F9B.2,31,40
Y71F9B.8,lron-11,3,1
Y71F9B.7,plk-2,531,576
Y71F9B.9,Y71F9B.9,6,7
Y71F9B.10,sop-3,187,190
Y71F9B.13,Y71F9B.13,0,17
Y71F9B.14,Y71F9B.14,9,5
W03D8.9,W03D8.9,284,333
W03D8.10,W03D8.10,143,20
W03D8.1,W03D8.1,7,8
W03D8.8,W03D8.8,0,0
W03D8.7,W03D8.7,2,2
W03D8.2,W03D8.2,36,58
W03D8.12,W03D8.12,0,0
W03D8.6,itx-1,82,91
W03D8.5,W03D8.5,24,18
W03D8.11,W03D8.11,0,0
W03D8.3,W03D8.3,12,11
W10C8.2,pop-1,28,22
W10C8.1,ccb-2,0,0
W10C8.4,W10C8.4,0,0
W10C8.5,W10C8.5,231,732
W10C8.6,W10C8.6,1,0
Y71F9AL.11,Y71F9AL.11,0,0
Y71F9AL.10,Y71F9AL.10,19,13
Y71F9AL.12,Y71F9AL.12,146,148
Y71F9AL.9,Y71F9AL.9,0,0
Y71F9AL.8,Y71F9AL.8,6,6
Y71F9AL.14,dnc-5,21,36
Y71F9AL.16,arx-1,46,65
Y71F9AL.6,Y71F9AL.6,0,0
Y71F9AL.17,Y71F9AL.17,372,366
Y71F9AL.5,gst-43,0,0
Y71F9AL.4,Y71F9AL.4,9,40
Y71F9AL.18,pme-1,120,171
Y71F9AL.2,Y71F9AL.2,9,9
Y71F9AL.1,Y71F9AL.1,1,1
Y71F9AM.6,trap-1,338,356
Y71F9AM.5,nxt-1,1,1
Y71F9AM.4,cogc-3,52,82
Y71F9AM.8,Y71F9AM.8,0,0
Y71F9AR.1,bam-2,34,33
Y71F9AR.4,Y71F9AR.4,10,9
Y71F9AR.2,Y71F9AR.2,0,4
Y71F9AR.3,Y71F9AR.3,18,13
Y54E10BL.4,dnj-28,74,78
Y54E10BL.5,nduf-5,12,13
Y54E10BL.3,Y54E10BL.3,0,0
Y54E10BL.6,mek-2,42,45
Y54E10BL.8,Y54E10BL.8,0,0
Y54E10BL.2,col-48,1,2
Y54E10BL.1,Y54E10BL.1,0,0
Y54E10BR.4,Y54E10BR.4,96,79
Y54E10BR.3,Y54E10BR.3,0,0
Y54E10BR.5,Y54E10BR.5,0,0
Y54E10BR.6,rpb-7,182,162
Y54E10BR.7,mod-5,8,6
Y54E10BR.8,ztf-23,53,43
Y54E10BR.1,Y54E10BR.1,0,0
M01B12.4,M01B12.4,207,202
M01B12.5,riok-1,18,24
C45E1.7,C45E1.7,0,0
C45E1.1,nhr-64,8,7
C45E1.5,C45E1.5,2,0
C45E1.4,C45E1.4,1,1
K09H9.3,col-49,0,1
K09H9.8,K09H9.8,0,0
K09H9.5,K09H9.5,3,3
K09H9.6,lpd-6,33,35
K09H9.2,K09H9.2,0,0
K09H9.7,K09H9.7,15,16
K09H9.1,K09H9.1,0,0
Y54E10A.9,vbh-1,558,520
Y54E10A.7,mrpl-17,0,0
Y54E10A.6,Y54E10A.6,69,67
Y54E10A.5,dnc-6,0,0
Y54E10A.10,Y54E10A.10,44,63
Y54E10A.11,Y54E10A.11,165,143
Y54E10A.12,Y54E10A.12,56,59
Y54E10A.13,Y54E10A.13,0,0
Y54E10A.17,Y54E10A.17,20,33
Y54E10A.4,fog-1,13,12
Y54E10A.14,rom-5,19,15
Y54E10A.15,cdt-1,12,16
Y54E10A.3,Y54E10A.3,9,4
Y54E10A.2,cogc-1,22,18
Y54E10A.16,mab-31,34,27
Y44E3B.2,tyr-5,1,3
Y44E3B.1,zip-4,1,0
W01B11.3,nol-5,494,515
W01B11.5,pqn-72,5,5
W01B11.2,sulp-6,6,16
W01B11.6,W01B11.6,2,4
W01B11.1,W01B11.1,4,6
Y44E3A.2,ace-2,0,0
Y44E3A.4,Y44E3A.4,0,0
Y44E3A.1,Y44E3A.1,1,0
Y44E3A.6,Y44E3A.6,75,72
W05F2.7,W05F2.7,1,6
W05F2.2,W05F2.2,1,0
W05F2.3,W05F2.3,0,0
W05F2.6,W05F2.6,78,93
W05F2.5,fbxa-203,11,8
W05F2.4,W05F2.4,9,4
K03E5.3,cdk-2,38,34
K03E5.2,K03E5.2,0,0
K03E5.1,K03E5.1,0,0
Y47G6A.12,sep-1,113,120
Y47G6A.28,tag-63,130,144
Y47G6A.13,Y47G6A.13,10,19
Y47G6A.11,msh-6,176,186
Y47G6A.14,Y47G6A.14,9,1
Y47G6A.10,spg-7,41,51
Y47G6A.15,Y47G6A.15,1,1
Y47G6A.9,Y47G6A.9,0,0
Y47G6A.8,crn-1,0,0
Y47G6A.17,Y47G6A.17,0,1
Y47G6A.7,Y47G6A.7,3,1
Y47G6A.18,Y47G6A.18,33,37
Y47G6A.6,pcaf-1,8,12
Y47G6A.19,Y47G6A.19,9,14
Y47G6A.30,Y47G6A.30,0,0
Y47G6A.5,Y47G6A.5,3,5
Y47G6A.20,rnp-6,65,65
Y47G6A.4,Y47G6A.4,18,17
Y47G6A.21,Y47G6A.21,10,6
Y47G6A.34,Y47G6A.34,0,0
Y47G6A.27,Y47G6A.27,1,3
Y47G6A.22,Y47G6A.22,47,44
Y47G6A.23,lpd-3,92,92
Y47G6A.29,Y47G6A.29,73,69
Y47G6A.3,Y47G6A.3,9,18
Y47G6A.31,Y47G6A.31,4,3
Y47G6A.25,Y47G6A.25,67,57
Y47G6A.2,inx-22,53,45
Y47G6A.1,inx-21,38,34
Y47G6A.32,Y47G6A.32,1,0
T28F2.3,cah-6,0,0
T28F2.4,jmjc-1,5,3
T28F2.1,T28F2.1,1,1
T28F2.5,ccb-1,9,3
T28F2.6,col-50,0,0
T28F2.8,col-51,0,0
T28F2.7,T28F2.7,7,6
D1037.2,smp-2,1,0
D1037.4,rab-8,0,0
D1037.1,D1037.1,6,14
D1037.5,D1037.5,0,1
H26D21.2,msh-2,36,34
F21A9.1,F21A9.1,0,0
T12F5.4,lin-59,7,18
T12F5.3,glh-4,10,44
T12F5.5,larp-5,0,0
Y8G1A.1,math-46,0,1
Y8G1A.3,Y8G1A.3,0,0
Y8G1A.2,inx-13,22,19
ZK770.3,inx-12,0,0
ZK770.1,asic-1,0,0
C32E8.8,ptr-2,0,0
C32E8.9,C32E8.9,0,0
C32E8.10,unc-11,62,66
C32E8.11,ubr-1,17,18
F53F10.5,npp-11,1,3
F53F10.7,F53F10.7,0,0
F53F10.4,unc-108,319,311
F53F10.8,F53F10.8,20,15
F53F10.2,F53F10.2,238,208
F53F10.1,F53F10.1,0,0
T03F1.5,gsp-4,213,193
T03F1.6,T03F1.6,7,1
T03F1.7,T03F1.7,0,0
T03F1.8,guk-1,1,0
T03F1.9,hcp-4,68,58
T03F1.2,coq-4,20,16
C50F2.3,C50F2.3,35,16
C50F2.2,C50F2.2,0,0
C50F2.4,C50F2.4,0,0
C50F2.1,C50F2.1,0,0
C50F2.8,C50F2.8,0,0
T20F5.6,T20F5.6,6,7
T21E3.2,T21E3.2,4,8
T21E3.1,egg-4,52,243
T21E3.3,lrp-2,12,10
F47B3.3,F47B3.3,0,0
F47B3.6,F47B3.6,0,0
F28H1.3,aars-2,70,77
F55C7.7,unc-73,7,22
C09D1.1,unc-89,82,72
C24G7.4,C24G7.4,3,4
C24G7.2,acd-1,0,2
C24G7.1,C24G7.1,0,0
H31G24.4,cyb-2.2,399,294
H31G24.3,H31G24.3,32,29
E01A2.3,lin-44,0,1
E01A2.4,E01A2.4,97,96
E01A2.2,E01A2.2,93,107
E01A2.5,E01A2.5,0,0
E01A2.6,E01A2.6,68,74
E01A2.1,E01A2.1,0,0
E01A2.7,E01A2.7,0,0
E01A2.10,E01A2.10,16,39
R12E2.8,R12E2.8,0,0
R12E2.9,inx-15,14,40
R12E2.5,inx-16,5,14
R12E2.4,inx-17,6,3
R12E2.10,egg-5,162,167
R12E2.11,R12E2.11,0,0
R12E2.12,mrps-6,18,19
R12E2.3,rpn-8,1,0
R12E2.2,R12E2.2,241,211
R12E2.1,R12E2.1,18,15
C18E3.7,ppw-1,270,146
C18E3.6,cas-2,0,0
C18E3.5,C18E3.5,23,20
C18E3.4,C18E3.4,0,0
C18E3.3,C18E3.3,11,9
C18E3.8,hop-1,71,68
C18E3.2,swsn-2.2,42,40
C18E3.10,C18E3.10,0,0
C18E3.1,C18E3.1,0,0
C18E3.9,C18E3.9,68,65
C43E11.6,nab-1,11,13
C43E11.5,C43E11.5,56,25
C43E11.7,ndx-7,26,25
C43E11.8,exoc-7,13,11
C43E11.4,tufm-2,30,31
C43E11.11,cogc-5,17,23
C43E11.3,met-1,72,53
C43E11.2,mus-81,76,68
C43E11.10,cdc-6,48,46
C43E11.1,acin-1,57,47
Y47D9A.3,Y47D9A.3,1,3
Y47D9A.2,scpl-3,0,0
Y47D9A.1,Y47D9A.1,38,37
ZK973.6,anc-1,6,9
ZK973.3,pdp-1,0,0
ZK973.9,ZK973.9,0,0
ZK973.10,lpd-5,0,0
ZK973.2,cec-10,48,31
ZK973.1,ZK973.1,160,137
T21E12.4,dhc-1,134,135
T21E12.3,T21E12.3,0,0
T21E12.2,T21E12.2,0,0
C11D9.1,cgef-2,0,0
C41D11.3,C41D11.3,21,28
C41D11.4,C41D11.4,0,0
C41D11.2,eif-3.H,87,57
C41D11.8,cps-6,38,41
C41D11.9,C41D11.9,49,65
C41D11.5,C41D11.5,35,54
C41D11.7,eri-7,20,11
C41D11.1,eri-6,26,43
C41D11.6,C41D11.6,2,2
T01A4.1,gcy-28,121,150
Y119C1B.4,mrpl-19,47,49
Y119C1B.5,Y119C1B.5,0,0
Y119C1B.6,Y119C1B.6,3,2
Y119C1B.12,Y119C1B.12,0,0
Y119C1B.8,bet-1,135,115
Y119C1B.9,Y119C1B.9,4,6
Y119C1B.3,Y119C1B.3,0,0
Y119C1B.10,Y119C1B.10,11,5
D1007.15,D1007.15,13,15
D1007.14,pqn-24,4,9
D1007.13,D1007.13,0,0
D1007.1,ceh-17,0,0
D1007.2,col-52,0,0
D1007.3,D1007.3,2,0
D1007.18,D1007.18,0,0
D1007.5,D1007.5,17,32
D1007.10,D1007.10,16,22
D1007.9,D1007.9,0,0
D1007.7,nrd-1,70,71
C44E4.5,C44E4.5,0,0
C44E4.8,C44E4.8,3,2
C44E4.1,C44E4.1,13,16
C44E4.7,C44E4.7,29,37
C44E4.2,C44E4.2,0,0
C44E4.4,C44E4.4,0,0
C44E4.6,acbp-1,0,1
C44E4.3,got-2.1,65,81
Y119C1A.1,Y119C1A.1,97,119
B0041.3,B0041.3,1,0
B0041.4,rpl-4,2149,2049
B0041.8,B0041.8,249,236
B0041.5,B0041.5,1,1
B0041.6,ptps-1,2,4
B0041.2,ain-2,30,36
B0041.10,B0041.10,0,0
B0041.11,B0041.11,20,21
B0041.1,B0041.1,8,4
B0041.7,xnp-1,129,121
T04D1.3,unc-57,59,61
T04D1.2,T04D1.2,0,0
T04D1.4,chd-7,35,33
W09C3.4,W09C3.4,30,24
W09C3.3,W09C3.3,1,4
W09C3.6,gsp-3,91,86
W09C3.7,W09C3.7,8,6
W09C3.8,W09C3.8,9,10
W09C3.1,W09C3.1,8,25
C10H11.7,C10H11.7,0,0
C10H11.6,ugt-26,0,0
C10H11.5,ugt-27,0,1
C10H11.4,ugt-28,18,3
C10H11.3,ugt-25,0,0
C10H11.8,C10H11.8,0,0
C10H11.9,let-502,54,63
C10H11.12,C10H11.12,0,0
C10H11.1,viln-1,36,42
C10H11.13,C10H11.13,0,0
C10H11.10,kca-1,70,65
M04F3.3,M04F3.3,16,17
M04F3.2,M04F3.2,0,1
M04F3.4,M04F3.4,34,33
M04F3.5,M04F3.5,31,31
F54D7.4,zig-7,25,24
F54D7.3,gnrr-1,0,0
F54D7.2,F54D7.2,0,0
F57C9.6,F57C9.6,0,0
F57C9.7,F57C9.7,0,1
F57C9.5,htp-3,32,34
F57C9.4,F57C9.4,0,0
F57C9.3,F57C9.3,0,0
F57C9.2,clec-90,0,0
F57C9.1,F57C9.1,0,1
C01F4.2,rga-6,0,0
F25F8.1,F25F8.1,0,1
F21F3.1,pgal-1,55,55
F21F3.7,F21F3.7,0,0
F28B3.8,imb-1,0,0
F28B3.5,F28B3.5,1,1
F28B3.9,acl-11,0,0
F28B3.4,F28B3.4,0,0
F28B3.1,F28B3.1,0,0
F28B3.7,him-1,86,80
W03G9.8,W03G9.8,40,44
W03G9.3,W03G9.3,11,14
W03G9.9,W03G9.9,0,0
W03G9.1,snf-1,21,16
W03G9.10,W03G9.10,0,0
F54C1.5,dyf-1,0,0
F54C1.3,mes-3,1,0
F54C1.2,dom-3,24,24
F54C1.8,F54C1.8,6,6
F54C1.6,F54C1.6,0,0
F54C1.7,pat-10,1320,1509
C46H11.6,C46H11.6,6,8
C46H11.4,lfe-2,0,0
C46H11.8,phat-1,0,0
C46H11.12,C46H11.12,0,0
C46H11.2,C46H11.2,7,6
C46H11.11,fhod-1,7,7
C30F8.4,kin-32,5,6
Y110A7A.15,Y110A7A.15,0,0
Y110A7A.16,elpc-1,92,71
Y110A7A.9,Y110A7A.9,0,0
Y110A7A.17,mat-1,186,174
Y110A7A.3,unc-63,0,0
Y110A7A.1,hcp-6,28,37
F56A3.1,fncm-1,0,0
C32E12.2,pde-5,0,0
C32E12.3,osr-1,0,0
C32E12.5,sem-2,0,0
C32E12.4,C32E12.4,4,3
C32E12.1,C32E12.1,50,32
B0261.4,mrpl-47,59,55
B0261.2,let-363,0,0
B0261.1,B0261.1,29,25
C01G8.2,cln-3.2,1,0
C01G8.3,dhs-1,32,48
C01G8.5,erm-1,0,0
C01G8.6,hpo-32,28,16
C01G8.9,let-526,39,25
